Platform	Platform_Tag	Pivot_Features
SCL	vargaH:nA	nt_nam
SCL	vargaH:sarva	nt_dei
SCL	vargaH:safKyeya	nt_car
SCL	vargaH:safKyA	nt_num
SCL	vargaH:pUraNa	nt_ord
SCL	lifgam:puM	gender_masc
SCL	lifgam:swrI	gender_fem
SCL	lifgam:napuM	gender_neut
SCL	viBakwiH:1	case_nom
SCL	viBakwiH:2	case_acc
SCL	viBakwiH:3	case_ins
SCL	viBakwiH:4	case_dat
SCL	viBakwiH:5	case_abl
SCL	viBakwiH:6	case_gen
SCL	viBakwiH:7	case_loc
SCL	viBakwiH:8	case_voc
SCL	vacanam:eka	num_sg
SCL	vacanam:xvi	num_du
SCL	vacanam:bahu	num_pl
SCL	upasarga	prev
SCL	puruRaH:u	person_1
SCL	puruRaH:ma	person_2
SCL	puruRaH:pra	person_3
SCL	sanAxi_prawyayaH:Nic	ca
SCL	sanAxi_prawyayaH:san	des
SCL	sanAxi_prawyayaH:yaf	int
SCL	lakAraH:lat	tense_pres|mood_ind
SCL	lakAraH:lot	tense_pres|mood_imp
SCL	lakAraH:viXilif	tense_pres|mood_opt
SCL	lakAraH:ASIrlif	tense_aor|mood_prec
SCL	lakAraH:lit	tense_perf|mood_ind
SCL	lakAraH:laf	tense_impft|mood_ind
SCL	lakAraH:lqt	tense_fut|mood_ind
SCL	lakAraH:lut	tense_fut|mood_ind|formation_peri
SCL	lakAraH:lqf	tense_fut|mood_cond
SCL	lakAraH:luf	tense_aor|mood_ind
SCL	lakAraH:let	tense_pres|mood_subj
SCL	paxI:parasmEpaxI	paxa_parasmE
SCL	paxI:AwmanepaxI	paxa_Awmane
SCL	prayogaH:karwari	prayoga_karwari
SCL	prayogaH:karmaNi	prayoga_karmaNi
SCL	prayogaH:BAve	prayoga_BAve
SCL	gaNaH:BvAxiH	class_1
SCL	gaNaH:axAxiH	class_2
SCL	gaNaH:juhowyAxiH	class_3
SCL	gaNaH:xivAxiH	class_4
SCL	gaNaH:svAxiH	class_5
SCL	gaNaH:wuxAxiH	class_6
SCL	gaNaH:ruXAxiH	class_7
SCL	gaNaH:wanAxiH	class_8
SCL	gaNaH:kryAxiH	class_9
SCL	gaNaH:curAxiH	class_10
SCL	vargaH:avy	ind
SCL	vargaH:kqw_avy	krt_ind
SCL	vargaH:waxXiwa_avy	tad_ind
SCL	kqw_prawyayaH:Sawq_lat	verbform_part|tense_pres|prayoga_karwari|paxa_parasmE
SCL	kqw_prawyayaH:SAnac_lat	verbform_part|tense_pres|prayoga_karmaNi|paxa_Awmane||verbform_part|tense_pres|prayoga_karwari|paxa_Awmane
SCL	kqw_prawyayaH:kwavawu	verbform_part|tense_past|prayoga_karwari
SCL	kqw_prawyayaH:kwa	verbform_part|tense_past|prayoga_karmaNi
SCL	kqw_prawyayaH:kvasu	verbform_part|tense_perf|prayoga_kartari|pada_parasmai
SCL	kqw_prawyayaH:kAnac	verbform_part|tense_perf|prayoga_kartari|pada_atmane
SCL	kqw_prawyayaH:Sawq_lqt	verbform_part|tense_fut|prayoga_kartari|pada_parasmai
SCL	kqw_prawyayaH:SAnac_lqt	verbform_part|tense_fut|prayoga_kartari|pada_atmane
SCL	kqw_prawyayaH:yaw	verbform_gdv|kqw_yaw
SCL	kqw_prawyayaH:anIyar	verbform_gdv|kqw_anIyar
SCL	kqw_prawyayaH:wavyaw	verbform_gdv|kqw_wavyaw
SCL	kqw_prawyayaH:kwvA	verbform_abs|kqw_kwvA
SCL	kqw_prawyayaH:lyap	verbform_abs|kqw_lyap
SCL	kqw_prawyayaH:Namul	verbform_abs|kqw_Namul
SCL	kqw_prawyayaH:wumun	verbform_inf|kqw_wumun
SCL	kqw_prawyayaH:Nyaw	verbform_gdv|kqw_Nyaw
SCL	kqw_prawyayaH:kyap	kqw_kyap
SCL	kqw_prawyayaH:kelimar	kqw_kelimar
SCL	kqw_prawyayaH:Nvul	kqw_Nvul
SCL	kqw_prawyayaH:wqc	kqw_wqc
SCL	kqw_prawyayaH:lyu	kqw_lyu
SCL	kqw_prawyayaH:Nini	kqw_Nini
SCL	kqw_prawyayaH:ac	kqw_ac
SCL	kqw_prawyayaH:ka	kqw_ka
SCL	kqw_prawyayaH:Sa	kqw_Sa
SCL	kqw_prawyayaH:Na	kqw_Na
SCL	kqw_prawyayaH:Rvun	kqw_Rvun
SCL	kqw_prawyayaH:Wakan	kqw_Wakan
SCL	kqw_prawyayaH:Nyut	kqw_Nyut
SCL	kqw_prawyayaH:vun	kqw_vun
SCL	kqw_prawyayaH:aN	kqw_aN
SCL	kqw_prawyayaH:tak	kqw_tak
SCL	kqw_prawyayaH:ta	kqw_ta
SCL	kqw_prawyayaH:in	kqw_in
SCL	kqw_prawyayaH:KaS	kqw_KaS
SCL	kqw_prawyayaH:Kac	kqw_Kac
SCL	kqw_prawyayaH:da	kqw_da
SCL	kqw_prawyayaH:Kyun	kqw_Kyun
SCL	kqw_prawyayaH:KiRNuc	kqw_KiRNuc
SCL	kqw_prawyayaH:KukaF	kqw_KukaF
SCL	kqw_prawyayaH:kvin	kqw_kvin
SCL	kqw_prawyayaH:kaF	kqw_kaF
SCL	kqw_prawyayaH:kvip	kqw_kvip
SCL	kqw_prawyayaH:Nvi	kqw_Nvi
SCL	kqw_prawyayaH:Fyut	kqw_Fyut
SCL	kqw_prawyayaH:vit	kqw_vit
SCL	kqw_prawyayaH:kap	kqw_kap
SCL	kqw_prawyayaH:Nvin	kqw_Nvin
SCL	kqw_prawyayaH:vic	kqw_vic
SCL	kqw_prawyayaH:manin	kqw_manin
SCL	kqw_prawyayaH:kvanip	kqw_kvanip
SCL	kqw_prawyayaH:vanip	kqw_vanip
SCL	kqw_prawyayaH:ini	kqw_ini
SCL	kqw_prawyayaH:fvanip	kqw_fvanip
SCL	kqw_prawyayaH:awqn	kqw_awqn
SCL	kqw_prawyayaH:SAyac	kqw_SAyac
SCL	kqw_prawyayaH:SAnan	kqw_SAnan
SCL	kqw_prawyayaH:cAnaS	kqw_cAnaS
SCL	kqw_prawyayaH:wqn	kqw_wqn
SCL	kqw_prawyayaH:iRNuc	kqw_iRNuc
SCL	kqw_prawyayaH:gsnu	kqw_gsnu
SCL	kqw_prawyayaH:knu	kqw_knu
SCL	kqw_prawyayaH:GinuN	kqw_GinuN
SCL	kqw_prawyayaH:vuF	kqw_vuF
SCL	kqw_prawyayaH:yuc	kqw_yuc
SCL	kqw_prawyayaH:ukaF	kqw_ukaF
SCL	kqw_prawyayaH:RAkan	kqw_RAkan
SCL	kqw_prawyayaH:Aluc	kqw_Aluc
SCL	kqw_prawyayaH:ru	kqw_ru
SCL	kqw_prawyayaH:kmarac	kqw_kmarac
SCL	kqw_prawyayaH:Gurac	kqw_Gurac
SCL	kqw_prawyayaH:kurac	kqw_kurac
SCL	kqw_prawyayaH:kvarap	kqw_kvarap
SCL	kqw_prawyayaH:Uka	kqw_Uka
SCL	kqw_prawyayaH:ra	kqw_ra
SCL	kqw_prawyayaH:u	kqw_u
SCL	kqw_prawyayaH:ki	kqw_ki
SCL	kqw_prawyayaH:kin	kqw_kin
SCL	kqw_prawyayaH:najif	kqw_najif
SCL	kqw_prawyayaH:Aru	kqw_Aru
SCL	kqw_prawyayaH:kruk	kqw_kruk
SCL	kqw_prawyayaH:klukan	kqw_klukan
SCL	kqw_prawyayaH:varac	kqw_varac
SCL	kqw_prawyayaH:du	kqw_du
SCL	kqw_prawyayaH:Rtran	kqw_Rtran
SCL	kqw_prawyayaH:iwra	kqw_iwra
SCL	kqw_prawyayaH:GaF	kqw_GaF
SCL	kqw_prawyayaH:ap	kqw_ap
SCL	kqw_prawyayaH:kwri	kqw_kwri
SCL	kqw_prawyayaH:aWuc	kqw_aWuc
SCL	kqw_prawyayaH:naf	kqw_naf
SCL	kqw_prawyayaH:nan	kqw_nan
SCL	kqw_prawyayaH:kwin	kqw_kwin
SCL	kqw_prawyayaH:a	kqw_a
SCL	kqw_prawyayaH:af	kqw_af
SCL	kqw_prawyayaH:iF	kqw_iF
SCL	kqw_prawyayaH:Nvuc	kqw_Nvuc
SCL	kqw_prawyayaH:ani	kqw_ani
SCL	kqw_prawyayaH:lyut	kqw_lyut
SCL	kqw_prawyayaH:Ga	kqw_Ga
SCL	kqw_prawyayaH:Kal	kqw_Kal
SCL	kqw_prawyayaH:kwic	kqw_kwic
SCL	kqw_prawyayaH:se	kqw_se
SCL	kqw_prawyayaH:sen	kqw_sen
SCL	kqw_prawyayaH:ase	kqw_ase
SCL	kqw_prawyayaH:asen	kqw_asen
SCL	kqw_prawyayaH:kse	kqw_kse
SCL	kqw_prawyayaH:ksen	kqw_ksen
SCL	kqw_prawyayaH:aXyE	kqw_aXyE
SCL	kqw_prawyayaH:aXyEn	kqw_aXyEn
SCL	kqw_prawyayaH:kaXyE	kqw_kaXyE
SCL	kqw_prawyayaH:kaXyEn	kqw_kaXyEn
SCL	kqw_prawyayaH:SaXyE	kqw_SaXyE
SCL	kqw_prawyayaH:SaXyEn	kqw_SaXyEn
SCL	kqw_prawyayaH:wavE	kqw_wavE
SCL	kqw_prawyayaH:wavef	kqw_wavef
SCL	kqw_prawyayaH:wavena	kqw_wavena
SCL	kqw_prawyayaH:kamul	kqw_kamul
SCL	kqw_prawyayaH:wosun	kqw_wosun
SCL	kqw_prawyayaH:kasun	kqw_kasun
SCL	kqw_prawyayaH:ken	kqw_ken
SCL	kqw_prawyayaH:kenya	kqw_kenya
SCL	kqw_prawyayaH:wvan	kqw_wvan
SCL	kqw_prawyayaH:Sena	kqw_Sena
SCL	kqw_prawyayaH:KamuF	kqw_KamuF
SCL	waxXiwa_prawyayaH:aN	waxXiwa_aN
SCL	waxXiwa_prawyayaH:iF	waxXiwa_iF
SCL	waxXiwa_prawyayaH:cPaF	waxXiwa_cPaF
SCL	waxXiwa_prawyayaH:Tak	waxXiwa_Tak
SCL	waxXiwa_prawyayaH:GaF	waxXiwa_GaF
SCL	waxXiwa_prawyayaH:wal	waxXiwa_wal
SCL	waxXiwa_prawyayaH:vawup	waxXiwa_vawup
SCL	waxXiwa_prawyayaH:mawup	waxXiwa_mawup
SCL	waxXiwa_prawyayaH:warap	waxXiwa_tarap
SCL	waxXiwa_prawyayaH:wamap	waxXiwa_tamap
SCL	waxXiwa_prawyayaH:wva	waxXiwa_tva
SCL	waxXiwa_prawyayaH:vaw	waxXiwa_vaw
SCL	waxXiwa_prawyayaH:wasil	waxXiwa_wasil
SCL	waxXiwa_prawyayaH:karam	waxXiwa_karam
SCL	waxXiwa_prawyayaH:arWam	waxXiwa_arWam
SCL	waxXiwa_prawyayaH:pUrvaka	waxXiwa_pUrvaka
SCL	waxXiwa_prawyayaH:vAram	waxXiwa_vAram
SCL	waxXiwa_prawyayaH:kqwvasuc	waxXiwa_kqwvasuc
SCL	waxXiwa_prawyayaH:xA	waxXiwa_xA
SCL	waxXiwa_prawyayaH:Sas	waxXiwa_Sas
SCL	vargaH:sapUpa	compound_base
SH	m.	gender_masc
SH	f.	gender_fem
SH	n.	gender_neut
SH	*	gender_any
SH	nom.	case_nom
SH	acc.	case_acc
SH	i.	case_ins
SH	dat.	case_dat
SH	abl.	case_abl
SH	g.	case_gen
SH	loc.	case_loc
SH	voc.	case_voc
SH	sg.	num_sg
SH	du.	num_du
SH	pl.	num_pl
SH	prev.	prev
SH	1	person_1
SH	2	person_2
SH	3	person_3
SH	ca.	ca
SH	des.	des
SH	int.	int
SH	int. luk.	int_luk
SH	ca. int.	ca_int
SH	des. int.	des_int
SH	des. ca.	des_ca
SH	des. ca. int.	des_ca_int
SH	per.	formation_peri
SH	pr.	tense_pres|mood_ind
SH	imp.	tense_pres|mood_imp
SH	opt.	tense_pres|mood_opt
SH	ben.	tense_aor|mood_prec
